,Rainfall,Day,Month,Year
723,0.0,25,12,1982
724,0.0,26,12,1982
725,0.0,27,12,1982
726,0.0,28,12,1982
727,0.0,29,12,1982
728,0.0,30,12,1982
729,0.0,31,12,1982
730,0.0,1,1,1983
731,0.0,2,1,1983
732,0.0,3,1,1983
733,0.0,4,1,1983
734,0.0,5,1,1983
735,0.0,6,1,1983
736,0.0,7,1,1983
737,0.0,8,1,1983
738,0.0,9,1,1983
739,0.0,10,1,1983
740,0.0,11,1,1983
741,0.0,12,1,1983
742,0.0,13,1,1983
743,0.0,14,1,1983
744,0.0,15,1,1983
745,0.0,16,1,1983
746,0.0,17,1,1983
747,0.0,18,1,1983
748,0.0,19,1,1983
749,0.0,20,1,1983
750,0.0,21,1,1983
751,0.0,22,1,1983
752,0.0,23,1,1983
753,0.0,24,1,1983
754,0.0,25,1,1983
755,13.445,26,1,1983
756,0.0,27,1,1983
757,0.0,28,1,1983
758,0.0,29,1,1983
759,0.0,30,1,1983
760,0.0,31,1,1983
761,0.0,1,2,1983
762,0.0,2,2,1983
763,0.0,3,2,1983
764,0.0,4,2,1983
765,0.0,5,2,1983
766,0.0,6,2,1983
767,0.0,7,2,1983
768,0.0,8,2,1983
769,0.0,9,2,1983
770,0.0,10,2,1983
771,17.211,11,2,1983
772,0.0,12,2,1983
773,9.835,13,2,1983
774,0.0,14,2,1983
775,11.141,15,2,1983
776,7.602,16,2,1983
777,12.8,17,2,1983
778,0.0,18,2,1983
779,3.336,19,2,1983
780,4.732,20,2,1983
781,0.0,21,2,1983
782,0.0,22,2,1983
783,0.0,23,2,1983
784,0.0,24,2,1983
785,0.0,25,2,1983
786,0.0,26,2,1983
787,0.0,27,2,1983
788,0.0,28,2,1983
789,0.0,1,3,1983
790,0.0,2,3,1983
791,0.0,3,3,1983
792,0.0,4,3,1983
793,0.0,5,3,1983
794,0.0,6,3,1983
795,0.0,7,3,1983
796,0.0,8,3,1983
797,0.0,9,3,1983
798,0.0,10,3,1983
799,0.0,11,3,1983
800,0.0,12,3,1983
801,0.0,13,3,1983
802,0.0,14,3,1983
803,0.0,15,3,1983
804,0.0,16,3,1983
805,0.0,17,3,1983
806,0.0,18,3,1983
807,0.0,19,3,1983
808,0.0,20,3,1983
809,0.0,21,3,1983
810,0.0,22,3,1983
811,0.0,23,3,1983
812,0.0,24,3,1983
813,0.0,25,3,1983
814,0.0,26,3,1983
815,37.03,27,3,1983
816,0.0,28,3,1983
817,0.0,29,3,1983
818,0.0,30,3,1983
819,0.0,31,3,1983
820,0.0,1,4,1983
821,0.0,2,4,1983
822,0.0,3,4,1983
823,0.0,4,4,1983
824,0.0,5,4,1983
825,43.946,6,4,1983
826,0.0,7,4,1983
827,0.0,8,4,1983
828,0.0,9,4,1983
829,0.0,10,4,1983
830,0.0,11,4,1983
831,0.0,12,4,1983
832,0.0,13,4,1983
833,0.0,14,4,1983
834,0.0,15,4,1983
835,0.0,16,4,1983
836,0.0,17,4,1983
837,0.0,18,4,1983
838,0.0,19,4,1983
839,0.0,20,4,1983
840,54.528,21,4,1983
841,0.0,22,4,1983
842,0.0,23,4,1983
843,0.0,24,4,1983
844,0.0,25,4,1983
845,0.0,26,4,1983
846,0.0,27,4,1983
847,0.0,28,4,1983
848,0.0,29,4,1983
849,53.704,30,4,1983
850,11.66,1,5,1983
851,0.0,2,5,1983
852,0.0,3,5,1983
853,0.0,4,5,1983
854,0.0,5,5,1983
855,0.0,6,5,1983
856,0.0,7,5,1983
857,0.0,8,5,1983
858,0.0,9,5,1983
859,0.0,10,5,1983
860,0.0,11,5,1983
861,0.0,12,5,1983
862,0.0,13,5,1983
863,0.0,14,5,1983
864,0.0,15,5,1983
865,0.0,16,5,1983
866,0.0,17,5,1983
867,0.0,18,5,1983
868,0.0,19,5,1983
869,13.07,20,5,1983
870,31.41,21,5,1983
871,0.0,22,5,1983
872,31.41,23,5,1983
873,0.0,24,5,1983
874,31.41,25,5,1983
875,0.0,26,5,1983
876,0.0,27,5,1983
877,0.0,28,5,1983
878,0.0,29,5,1983
879,0.0,30,5,1983
880,0.0,31,5,1983
881,0.0,1,6,1983
882,0.0,2,6,1983
883,0.0,3,6,1983
884,0.0,4,6,1983
885,0.0,5,6,1983
886,0.0,6,6,1983
887,0.0,7,6,1983
888,0.0,8,6,1983
889,0.0,9,6,1983
890,0.0,10,6,1983
891,0.0,11,6,1983
892,0.0,12,6,1983
893,0.0,13,6,1983
894,0.0,14,6,1983
895,0.0,15,6,1983
896,0.0,16,6,1983
897,0.0,17,6,1983
898,17.314,18,6,1983
899,0.0,19,6,1983
900,0.0,20,6,1983
901,0.0,21,6,1983
902,0.0,22,6,1983
903,0.0,23,6,1983
904,0.0,24,6,1983
905,0.0,25,6,1983
906,0.0,26,6,1983
907,0.0,27,6,1983
908,0.0,28,6,1983
909,0.0,29,6,1983
910,59.085,30,6,1983
911,0.0,1,7,1983
912,0.0,2,7,1983
913,16.189,3,7,1983
914,0.0,4,7,1983
915,0.0,5,7,1983
916,0.0,6,7,1983
917,0.0,7,7,1983
918,0.0,8,7,1983
919,0.0,9,7,1983
920,0.0,10,7,1983
921,0.0,11,7,1983
922,0.0,12,7,1983
923,0.0,13,7,1983
924,0.0,14,7,1983
925,11.769,15,7,1983
926,8.642,16,7,1983
927,6.73,17,7,1983
928,10.235,18,7,1983
929,9.289,19,7,1983
930,0.0,20,7,1983
931,0.0,21,7,1983
932,4.064,22,7,1983
933,1.99,23,7,1983
934,2.887,24,7,1983
935,3.574,25,7,1983
936,40.054,26,7,1983
937,0.0,27,7,1983
938,0.0,28,7,1983
939,0.0,29,7,1983
940,0.0,30,7,1983
941,0.0,31,7,1983
942,0.0,1,8,1983
943,0.0,2,8,1983
944,0.0,3,8,1983
945,3.661,4,8,1983
946,5.63,5,8,1983
947,0.0,6,8,1983
948,0.0,7,8,1983
949,7.826,8,8,1983
950,7.826,9,8,1983
951,0.0,10,8,1983
952,7.04,11,8,1983
953,5.49,12,8,1983
954,6.128,13,8,1983
955,3.745,14,8,1983
956,2.365,15,8,1983
957,16.722,16,8,1983
958,0.0,17,8,1983
959,16.722,18,8,1983
960,14.632,19,8,1983
961,0.0,20,8,1983
962,5.705,21,8,1983
963,13.073,22,8,1983
964,6.601,23,8,1983
965,22.273,24,8,1983
966,8.135,25,8,1983
